question,type,option_a,option_b,option_c,option_d,answer,explanation,difficulty,theme
Which is the most responsible way to use AI in performance management processes?,MCQ,"Use AI to generate performance reviews and share them directly, as they will be unbiased",Use AI to draft a structural framework that a qualified manager then personalises and validates against direct observation,Use AI to classify employees into performance tiers without human review,Use AI to make promotion recommendations based on job descriptions alone,B,"AI can provide structural support for performance documentation, but direct observation, human judgement, and fair validation are non-negotiable in people management.",Executive,responsible_ai
A management team wants to use AI to support a 30-day process improvement pilot. Which safeguard is most critical in the first week?,MCQ,Immediately automate all identified processes,Define which tasks AI may support and which require human control before any AI use begins,Focus only on cost savings and measure later,Use AI to design its own governance framework,B,Establishing permitted and prohibited use cases before deployment is the most critical first-week safeguard for any AI pilot in an operational context.,Executive,workflow_improvement
What does responsible AI transparency require in a management context?,MCQ,Publishing all AI prompts publicly,Disclosing AI assistance where it has materially influenced a decision document or recommendation,Removing all human input from AI-assisted documents,Hiding AI involvement to avoid scrutiny,B,"Transparency means reviewers and decision-makers know where AI has contributed, enabling appropriate scrutiny rather than uncritical acceptance.",Executive,responsible_ai
The most effective method for building AI literacy in a management team is:,MCQ,A single mandatory e-learning module with a completion certificate,Hands-on practice with real management tasks using safe data combined with structured reflection and use-case discussion,Watching demonstrations without any practice,Reading a policy document about AI risks,B,"Hands-on application with structured reflection builds genuine capability. Awareness-only approaches do not translate into safe and effective use.",Executive,ai_productivity
An AI-generated risk register assigns all risks as Medium. The most appropriate response is:,MCQ,Accept the ratings as AI is likely to be accurate,Have a domain expert review and adjust all risk ratings based on operational context and evidence,Add more rows to see if the ratings change,Share the register with leadership immediately,B,"Generic AI risk ratings without domain context are unreliable. All ratings must be validated by someone with relevant operational knowledge.",Executive,hallucination_management
Which question best tests the quality of an AI-generated decision memo before sharing it with leadership?,MCQ,Is the formatting professional and consistent?,Can every factual claim in this document be traced to a verified source or direct observation?,Is the document longer than one page?,Does the document include the AI tool's name?,B,"Traceability of factual claims is the most important quality criterion for any AI-assisted document intended to inform a leadership decision.",Executive,executive_decision_making
Which free tool is most appropriate for creating a visual representation of a briefing for an executive presentation?,MCQ,Canva Free,A command-line data tool,A restricted database,A classified system,A,"Canva Free supports professional visual presentation design, though it should be used only with approved, non-sensitive content.",Basic,ai_productivity
What role does a human reviewer play in an AI-assisted meeting minutes workflow?,MCQ,None — AI minutes are considered complete,Confirming that all decisions and action items are accurate and that no sensitive information has been included,Adding more agenda items retroactively,Changing the AI-generated formatting,B,Human review of meeting minutes is non-negotiable. The reviewer must confirm accuracy of all decisions and ownership before minutes are circulated as an official record.,Basic,human_oversight
Using AI to create a training plan from scratch with no human review is:,MCQ,Always the most efficient approach,Acceptable for low-risk internal training but still requires facilitator review and adaptation for the specific audience,Recommended for all situations to save time,A fully governed process,B,"AI-generated training plans are useful first drafts, but facilitators must review and adapt them for the specific audience, institutional context, and learning environment.",Basic,ai_productivity
Which of the following outputs requires the highest level of human review before official use?,MCQ,A structured template with no content,A summary of a public brochure for internal reference,An AI-generated policy interpretation that will be shared as official guidance,A glossary of common AI terms,C,"AI-generated policy interpretations carry compliance risk if treated as authoritative. A policy expert must review and approve such outputs before they influence any official guidance.",Intermediate,responsible_ai
What is a key advantage of using prompt nudges in a classroom AI lab?,MCQ,They allow learners to avoid understanding how prompts work,They enable learners to build effective prompts through selection without requiring prior technical knowledge,They replace the need for any human review,They automatically connect to external AI databases,B,"Nudges provide structured, click-first interaction that helps management learners engage with prompt engineering concepts without being blocked by technical unfamiliarity.",Basic,prompt_engineering
Which of the following is the most reliable signal that an AI-assisted workflow is appropriately governed?,MCQ,The AI tool is the most expensive available,Every AI-assisted output has a named human reviewer and an approval record,The team uses AI for all tasks without exception,The AI system was deployed without any training,B,"Named human reviewers and documented approval records are the clearest operational signal that AI use is governed, accountable, and auditable.",Executive,responsible_ai
The most important question to ask before submitting any prompt to a public AI tool is:,MCQ,Does the tool have an attractive interface?,Does this prompt contain any sensitive, personal, confidential, or restricted information?,Is the tool's name well known?,Will the output be exactly as expected?,B,"Checking for sensitive information before submission is the single most critical safety question for any AI interaction in a professional management context.",Basic,responsible_ai
